0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:17 +0530] "GET /ShoeRack/cart/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:17 +0530] "GET /ShoeRack/cart/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:17 +0530] "GET /ShoeRack/cart/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:18 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:18 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 476
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:35 +0530] "PUT /ShoeRack/cart/removeCartItem/15 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:50:35 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:05 +0530] "PUT /ShoeRack/cart/removeCartItem/16 HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:05 +0530] "GET /ShoeRack/cart/getCart/36 HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/13.png HTTP/1.1" 200 284901
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/14.png HTTP/1.1" 200 35153
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/16.png HTTP/1.1" 200 113612
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/17.png HTTP/1.1" 200 33425
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:16 +0530] "GET /ShoeRack/all/product/Resources/Images/18.png HTTP/1.1" 200 49537
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:37 +0530] "GET /ShoeRack/admin/product/deleteproduct/16 HTTP/1.1" 403 1036
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:41 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:51:41 +0530] "GET /ShoeRack/all/product/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:38 +0530] "GET /ShoeRack/all/product/AboutUs HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:40 +0530] "GET /ShoeRack/all/product/getAllProducts HTTP/1.1" 200 8727
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:41 +0530] "GET /ShoeRack/all/product/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:47 +0530] "GET /ShoeRack/all/product/home HTTP/1.1" 200 9839
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:47 +0530] "GET /ShoeRack/all/product/Resources/css/header.css HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:47 +0530] "GET /ShoeRack/all/product/Resources/css/index.css HTTP/1.1" 200 246
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:47 +0530] "GET /ShoeRack/all/product/Resources/Images/logo.png HTTP/1.1" 200 20234
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:48 +0530] "GET /ShoeRack/all/product/Resources/css/footer.css HTTP/1.1" 200 2095
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:48 +0530] "GET /ShoeRack/all/product/Resources/Images/mainBanner.jpg HTTP/1.1" 200 184116
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:48 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-male.svg HTTP/1.1" 200 1409
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:48 +0530] "GET /ShoeRack/all/product/Resources/Images/fi-female.svg HTTP/1.1" 200 1925
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:48 +0530] "GET /ShoeRack/all/product/Resources/Images/shoes01.jpg HTTP/1.1" 200 207730
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:48 +0530] "GET /ShoeRack/all/product/Resources/Images/shoes02.jpg HTTP/1.1" 200 177679
0:0:0:0:0:0:0:1 - - [18/Mar/2017:10:52:48 +0530] "GET /ShoeRack/all/product/Resources/Images/shoes03.jpg HTTP/1.1" 200 113612
